Id,Name,City,count,Words
sNVGdeOPeitJ3OWUQBINzQ,BabyStacks Cafe,Las Vegas,1,"['recommend', 'amaz', 'vega', 'best', 'ever', 'everi', 'even', 'staff', 'great', 'spot', 'delici', 'awesom', 'highli', 'babystack', 'excel', 'mani', 'moco', 'favorit', 'omg', 'absolut', 'alway', 'far', 'chocol', 'die', 'worth']"
vl2IZrNJEA8npSjqXbdwxw,BabyStacks Cafe,Las Vegas,1,"['worth', 'best', 'amaz', 'delici', 'alway', 'vega', 'stack', 'highli', 'babystack', 'banana', 'love', 'ever', 'everi', 'come', '__exclamation__', 'definit', 'park', 'fast', 'babycak', 'far', 'omg', 'cream', 'bite', 'right', 'friendli']"
RESDUcs7fIiihp38-d6_6g,Bacchanal Buffet,Las Vegas,1,"['everi', 'worth', 'ever', 'favorit', 'best', 'wonder', 'alway', 'everyth', 'ate', 'excel', 'endless', 'definit', 'amaz', 'ye', 'full', 'delici', 'buffett', 'perfect', 'well', 'authent', 'top', 'mani', 'hand', 'omg', 'must']"
7sPNbCx7vGAaH7SbNPZ6oA,Bachi Burger,Las Vegas,1,"['best', 'amaz', 'ever', 'vega', '5', 'perfect', 'must', 'excel', 'everyon', 'awesom', 'fast', 'bomb', 'sure', 'fantast', 'place', 'favorit', 'glad', 'omg', 'delici', 'truffl', 'super', 'miyagi', 'wow', 'bachi', 'wish']"
ZibmYdOPKLlqDM9oR6xzOA,Bachi Burger,Las Vegas,1,"['best', 'vega', 'amaz', 'ever', 'awesom', 'time', 'favorit', 'well', 'worth', 'perfect', 'must', 'fast', 'fish', 'friendli', 'alway', 'miso', 'life', 'outstand', '__exclamation__', 'town', 'recommend', 'kiki', 'perfectli', 'spici', 'appet']"
YhCAJ8acd1X7GkCHPhD8Xw,BLT Burger,Las Vegas,1,"['best', 'vega', 'ever', 'awesom', 'must', 'amaz', 'excel', 'everi', 'atmospher', 'fantast', 'fresh', 'delici', 'waffl', 'wife', 'great', 'cook', 'love', 'person', 'chees', 'flavor', 'never', 'fabul', 'chicken', 'say', 'juici']"
d_L-rfS1vT3JMzgCUGtiow,Border Grill,Las Vegas,1,"['amaz', 'best', 'us', 'made', 'perfect', 'brunch', 'everi', 'delici', 'friendli', 'everyth', 'vega', 'fresh', 'fantast', 'uniqu', '__exclamation__', 'excel', 'patio', 'top', 'thank', 'la', 'love', 'definit', 'local', 'tapa', 'experi']"
rcaPajgKOJC2vo_l3xa42A,Bouchon at the Venezia Tower,Las Vegas,1,"['amaz', 'perfect', 'best', 'ever', 'favorit', 'everi', 'mouth', 'recommend', 'thank', 'excel', 'soft', 'happi', 'get', 'sauc', 'awesom', 'next', 'wonder', 'without', 'perfectli', 'experi', 'live', 'delici', 'staff', 'husband', 'day']"
aT_SsfZ6GQgJGyuIv1Hapw,Bouchon Bakery at the Venetian Casino,Las Vegas,1,"['ever', 'love', 'worth', 'everi', 'also', 'perfect', 'recommend', 'home', 'everyth', 'amaz', 'thoma', 'must', 'highli', '__exclamation__', 'word', 'wonder', 'mouth', 'miss', 'back', 'far', 'nutter', 'wish', 'la', 'yet', 'last']"
IhNASEZ3XnBHmuuVnWdIwA,Brew Tea Bar,Las Vegas,1,"['alway', 'best', 'great', 'favorit', 'amaz', 'love', 'brew', 'vega', 'definit', 'recommend', 'need', 'boba', 'menu', 'never', 'custom', 'addict', 'perfect', '__exclamation__', 'drink', 'town', 'back', 'help', 'sure', 'delici', 'staff']"
