business_id,name,city,categories,romantic,intimate,classy,hipster,divey,touristy,trendy,upscale,casual,dessert,latenight,lunch,dinner,brunch,breakfast,HasTV,OutdoorSeating,RestaurantsAttire,RestaurantsAttire,RestaurantsPriceRange,stars,Nightlife,American (New),American (Traditional),Italian,Mexican,Pizza,Sandwiches,Seafood,Breakfast & Brunch,Japanese,Sushi Bars,Burgers,Asian Fusion,Steakhouses,Salad,Chinese,Coffee & Tea,Vegetarian,Desserts,Mediterranean,Thai,Barbeque,Bakeries,French,Indian
4JNXUYY8wbaaDmk3BPzlWw,Mon Ami Gabi,Las Vegas,"French,Steakhouses,Breakfast & Brunch,Restaurants",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,2,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
RESDUcs7fIiihp38-d6_6g,Bacchanal Buffet,Las Vegas,"Food,Restaurants,Buffets,Breakfast & Brunch,Sandwiches",0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,3,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K7lWdNUhCbcnEvI0NhGewg,Wicked Spoon,Las Vegas,"Buffets,Breakfast & Brunch,Restaurants",0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,3,3.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cYwJA2A6I12KNkm2rtXd5g,Gordon Ramsay BurGR,Las Vegas,"American (Traditional),Restaurants,Burgers",0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,2,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DkYS3arLOhA8si5uUEmHOw,Earl of Sandwich,Las Vegas,"Food Delivery Services,Restaurants,Caterers,Sandwiches,Soup,Food,Event Planning & Services,Salad",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,4.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
f4x1YBxkLrZg652xt2KR5g,Hash House A Go Go,Las Vegas,"American (New),Restaurants,Breakfast & Brunch",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,2,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eoHdUeQDNgQ6WYEnP2aiRw,Serendipity 3,Las Vegas,"Social Clubs,Restaurants,Desserts,Food,American (New),Arts & Entertainment,American (Traditional)",0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,1,2,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2weQS-RnoOBhb1KsHKyoSQ,The Buffet,Las Vegas,"Buffets,Restaurants",0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,3,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KskYqH1Bi7Z_61pH6Om8pg,Lotus of Siam,Las Vegas,"Automotive,Car Dealers,Restaurants,Thai,Nightlife,Bars,Wine Bars",0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ujHiaprwCQ5ewziu0Vi9rw,The Buffet at Bellagio,Las Vegas,"American (New),Buffets,Restaurants",0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,3,3.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
